"businessName","email","street","city","state","zip","phone","websiteURL","lat","lon","state.name","agency.name"
"Irvine Police Dept","","1 Civic Center Plz","Irvine","CA","92606","(949) 724-7000","","33.68595","-117.8247","California","Alabaster Police Dept"
"Placer County Fire Dept","","8350 Cook Riolo Rd","Roseville","CA","95747","(916) 771-0107","","38.746292","-121.33697","California","Albertville Police Dept"
"San Jose City Police Department","","1649 Hermocilla Way","San Jose","CA","95116","(408) 277-5263","","37.34636","-121.85159","California","Alexander City Police Dept"
"City Town Village Township Government Irwindale City","","5050 Irwindale Ave","Baldwin Park","CA","91706","(626) 430-2229","","34.10481","-117.93384","California","Anniston Police Dept"
"Hawthorne City Police Department","","12101 Crenshaw Blvd","Hawthorne","CA","90250","(310) 349-2820","","33.922173","-118.326515","California","Athens Police Dept"
"Auburn Police Dept","","1215 Lincoln Way","Auburn","CA","95603","(530) 823-4237","","38.89788","-121.074455","California","Auburn Police Dept"
"City of Baldwin Park","","4100 Baldwin Park Blvd","Baldwin Park","CA","91706","(626) 813-5245","","34.0856","-117.96482","California","Baldwin County Sheriff Deptartment"
"Pueblo Police Department","","310 E D St","Pueblo","CO","81003","(719) 553-2538","","38.22666","-104.68297","California","Bessemer Police Dept"
"Tustin City Police Department","","300 Centennial Way","Tustin","CA","92780","(714) 573-3200","","33.743313","-117.818825","California","Birmingham Police Dept"
"Los Angeles County Sheriffs Office","","301 S Willowbrook Ave","Compton","CA","90220","(310) 605-6500","","33.894714","-118.224266","California","Blount County Sheriff Department"
"Fresno Police Dept","","1617 S Cedar Ave","Fresno","CA","93702","(559) 621-6300","","36.7264","-119.75464","California","Calera Police Dept"
"La County Probation Dept","","14414 Delano St","Van Nuys","CA","91401","(818) 374-2000","","34.18264","-118.44684","California","Calhoun County Sheriff Department"
"L A County Sheriff Dept","","300 E Olive Ave","Burbank","CA","91502","(818) 260-9251","","34.18206","-118.30751","California","Chilton County Sheriff Department"
"Los Angeles County Sheriff","","13525 Telegraph Rd","Whittier","CA","90605","(562) 903-1874","","33.9378","-118.04296","California","Cullman County Sheriff Department"
"Irvine Police Dept","","1 Civic Center Plz","Irvine","CA","92606","(949) 724-7000","","33.68595","-117.8247","California","Daphne Police Dept"
"Decatur City Police Department","","333 S Franklin St","Decatur","IL","62523","(217) 424-2711","","39.84401","-88.95309","California","Decatur Police Dept"
"Dekalb County Health Department","","2550 N Annie Glidden Rd","De Kalb","IL","60115","(815) 748-2402","","41.956673","-88.770096","California","Dekalb County Sheriff Department"
"Stanislaus County Coroner","","939 Oakdale Rd","Modesto","CA","95355","(209) 567-4500","","37.65578","-120.95746","California","Dothan Police Dept"
"Los Angeles County Sheriff","","13525 Telegraph Rd","Whittier","CA","90605","(562) 903-1874","","33.9378","-118.04296","California","Elmore County Sheriff Department"
"Ceres Fire Dept","","830 Pecos Ave","Modesto","CA","95351","(209) 538-5701","","37.616657","-120.981606","California","Enterprise Police Dept"
"Etowah County Sheriff DEPT-ID","","827 Forrest Ave","Gadsden","AL","35901","(256) 549-5405","","34.015865","-86.011986","California","Etowah County Sheriff Department"
"Fairfield Police Dept-Records","","1000 Webster St","Fairfield","CA","94533","(707) 428-7309","","38.251812","-122.04358","California","Fairfield Police Dept"
"Louisville Police Youth Div","","215 S Mill St","Louisville","OH","44641","(330) 875-1820","","40.836864","-81.258095","California","Fairhope Police Dept"
"San Jose City Police Department","","1649 Hermocilla Way","San Jose","CA","95116","(408) 277-5263","","37.34636","-121.85159","California","Florence Police Dept"
"Lakeport Police Dept","","916 N Forbes St","Lakeport","CA","95453","(707) 263-5491","","39.047855","-122.91608","California","Foley Police Dept"
"Police","","211 S 1st St","Downey","CA","90240","(562) 940-6898","","33.89737","-118.15733","California","Gardendale Police Dept"
"Sacramento City Police Department","","5303 Franklin Blvd","Sacramento","CA","95820","(916) 277-6002","","38.52704","-121.472336","California","Gulf Shores Police Dept"
"Sacramento County Police Department","","10361 Rockingham Dr Ste 500","Sacramento","CA","95827","(916) 875-9600","","38.574","-121.30608","California","Hartselle Police Dept"
"Junction City R S","","43600 State Highway 299","Junction City","CA","96048","(530) 623-5419","","40.72826","-123.05534","California","Helena Police Dept"
"Placer County Sheriff's Sta","","2501 W Lake Blvd","Tahoe City","CA","96145","(530) 581-6310","","39.12843","-120.16157","California","Homewood Police Dept"
"Fresno City Police Department","","1450 E Teague Ave","Fresno","CA","93720","(559) 621-6400","","36.859257","-119.75765","California","Hoover Police Dept"
"City of Baytown","","3200 N Main St","Baytown","TX","77521","(281) 420-6608","","29.75619","-94.96394","California","Houston County Sheriff Department"
"Huntsville Police Department","","2110 Clinton Ave W","Huntsville","AL","35805","(256) 427-5461","","34.725098","-86.598175","California","Huntsville Police Dept"
"Police Department Crime Prvntn","","14403 Pacific Ave","Baldwin Park","CA","91706","(626) 813-5231","","34.084858","-117.95997","California","Irondale Police Dept"
"Jackson County Veteran's Svc","","2860 State St","Medford","OR","97504","(541) 774-8214","","42.314743","-122.830055","California","Jackson County Sheriff Department"
"Jacksonville City Police Department","","225 S 3rd St","Jacksonville","OR","97530","(541) 899-7100","","42.313374","-122.9682","California","Jacksonville Police Dept"
"US Department of Homeland Security Calexico Port of Entry","","200 E 1st St","Calexico","CA","92231","(760) 768-2609","","32.66561","-115.4963","California","Jasper Police Dept"
"La County Sheriff Trnsprtn Bur","","441 Bauchet St","Los Angeles","CA","90012","(213) 974-4571","","34.05959","-118.23026","California","Jefferson County Sheriff Department"
"Lauderdale County Sheriff","","2242 Hillcrest Dr # E","Meridian","MS","39301","(601) 482-9806","","32.34228","-88.68138","California","Lauderdale County Sheriff Department"
"Lawrence County Housing Auth","","801 Pershing St","Ellwood City","PA","16117","(724) 758-9419","","40.87259","-80.27477","California","Lawrence County Sheriff Department"
"Agriculture Department","","43955 Commerce Ave","Hollywood","MD","20636","(301) 373-4263","","38.3205","-76.55634","California","Lee County Sheriff Department"
"Leeds Fire Dept","","1040 Park Dr","Leeds","AL","35094","(205) 699-2581","","33.54546","-86.563034","California","Leeds Police Dept"
"City of Montclair","","4870 Arrow Hwy","Montclair","CA","91763","(909) 448-3600","","34.092415","-117.698555","California","Limestone County Sheriff Department"
"Highway Patrol","","41928 County Road 23","Woodland","CA","95776","(530) 662-4685","","38.6653","-121.978935","California","Madison Police Dept"
"Sheriffs Department","","270 S Walnut Ave","San Dimas","CA","91773","(626) 332-1184","","34.104504","-117.80278","California","Marshall County Sheriff Department"
"Riverbank City Police Department","","6727 3rd St","Riverbank","CA","95367","(209) 552-2472","","37.73628","-120.935745","California","Millbrook Police Dept"
"Mobile County Sheriff's Dept","","510 S Royal St","Mobile","AL","36603","(251) 574-2423","","30.67963","-88.04034","California","Mobile County Sheriff Department"
"Elk Grove Police Dept","","8380 Laguna Palms Way","Elk Grove","CA","95758","(916) 478-8000","","38.417652","-121.39488","California","Mobile Police Dept"
